Sezione 1 ;Sezione 2 ;Domanda;Sotto domanda;Risposta 
Alloggi on campus ;Recesso e rinuncia;Revoca e cancellazione dell'assegnazione alloggio;revoca;"L’assegnazione dell’alloggio sarà revocata nei seguenti casi:

a. Provvedimenti disciplinari
Lo studente che nel corso dell’anno riceva sanzioni disciplinari superiori alla ammonizione comminate dall’Università Bocconi incorre nella revoca dell’assegnazione dell’alloggio con conseguente espulsione dalla residenza e perdita del deposito cauzionale. In questo caso lo studente dovrà lasciare definitivamente l’alloggio a lui assegnato.


b. Grave violazione del Regolamento Residenze Bocconi
Lo studente che nel corso dell'anno si sia reso responsabile di grave violazione delle norme del Regolamento Residenze Bocconi incorre nella revoca dell’assegnazione dell’alloggio con conseguente espulsione dalla residenza e perdita del deposito cauzionale. In questo caso lo studente dovrà lasciare immediatamente e definitivamente l'alloggio a lui assegnato.

L’Università si riserva di deferire lo studente alla Commissione disciplinare.
L'Università si riserva inoltre di disporre la non idoneità dello studente ad usufruire del Servizio Alloggi per l'intero ciclo di studi.


c. Dichiarazioni non veritiere
Lo studente che abbia presentato/presenti dichiarazioni non veritiere, incorre nella revoca dell’assegnazione dell’alloggio con conseguente espulsione dalla residenza e perdita del deposito cauzionale. In questo caso lo studente dovrà lasciare immediatamente e definitivamente l’alloggio a lui assegnato. Saranno inoltre applicate le sanzioni previste dagli artt. 75 e 76 del D.P.R 445/2000 nonché le sanzioni previste dall’art. 10 comma 3 del D.lgs. 68/2012 consistenti nella perdita del diritto a ottenere altre erogazioni per tutta la durata del corso degli studi, nel pagamento di una somma di importo triplo rispetto al valore dei servizi indebitamente fruiti, fatta salva in ogni caso l'applicazione delle sanzioni di cui all'articolo 38, comma 3, del d.l n. 78/2010 nonché delle norme penali per i fatti costituenti reato.

L’Università Bocconi si riserva la possibilità di adottare sanzioni disciplinari e, qualora si ravvisino gli estremi di reato (art. 331 c.p.p.), la denuncia all’autorità giudiziaria.
"
Alloggi on campus ;Recesso e rinuncia;Revoca e cancellazione dell'assegnazione alloggio;cancellazione ;"Saranno cancellate d’ufficio le assegnazioni alloggio per gli studenti che rientrino nelle seguenti casistiche e che non abbiano presentato richiesta di RINUNCIA ALL’ALLOGGIO o RECESSO nei tempi e nei modi previsti:

 

Mancanza requisiti per usufruire dell’alloggio (merito e immatricolazione/iscrizione all’anno accademico)
L’assegnazione alloggio sarà cancellata a coloro che in qualsiasi momento dell’anno risulteranno privi di uno o più requisiti per usufruire dell'alloggio: requisito di merito oppure requisito di immatricolazione/iscrizione all’anno accademico 2023-24.

Tali studenti dovranno lasciare immediatamente l’alloggio, saranno comunque tenuti al pagamento per intero delle rate alloggi già scadute e non avranno diritto al rimborso delle stesse se già pagate.

Non avranno diritto al rimborso del deposito cauzionale.


Rinuncia agli studi o trasferimento ad altro ateneo
L’assegnazione alloggio sarà cancellata a coloro che si immatricoleranno/iscriveranno all’a.a. 2023-24 e che successivamente all’immatricolazione/iscrizione, in qualunque momento dell’anno accademico, si trasferiranno ad altro ateneo o rinunceranno agli studi.

Tali studenti dovranno lasciare immediatamente l’alloggio, saranno comunque tenuti al pagamento per intero delle rate alloggi già scadute e non avranno diritto al rimborso delle stesse se già pagate.

Non avranno diritto al rimborso del deposito cauzionale.


Mancato rispetto delle scadenze di pagamento
L’assegnazione alloggio sarà cancellata a coloro che non provvedano al pagamento della rata alloggi decorsi 15 giorni dalla scadenza.

Tali studenti dovranno lasciare immediatamente l’alloggio, saranno comunque tenuti al pagamento per intero delle rate già scadute e non avranno diritto al rimborso delle rate già pagate.

Non avranno diritto al rimborso del deposito cauzionale.

In questo caso verrà applicata anche la sospensione delle attività didattiche e amministrative fino alla presentazione della ricevuta attestante il pagamento delle rate rimaste in sospeso. 

L'Università si riserva inoltre in questo caso di disporre la non idoneità dello studente ad usufruire del Servizio Alloggi per l'intero ciclo di studi.


Laurea
L’assegnazione alloggio sarà cancellata a coloro che conseguiranno la laurea nel corso dell’anno.

Tali studenti dovranno lasciare definitivamente l’alloggio a loro assegnato entro la fine dello stesso mese di conseguimento della laurea. Saranno dovute (o non rimborsate se già pagate) in questo caso la mensilità di uscita e quella successiva.

Non avranno diritto al rimborso del deposito cauzionale.  


Mancanza requisito economico diritto allo studio (per ospiti tariffa agevolata)
L’assegnazione alloggio sarà cancellata a coloro che risultino assegnatari di alloggio a tariffa agevolata per l’a.a. 2023-24, ma presentino ai fini della domanda di Borsa di Studio ISU Bocconi a.a. 2023-24 un’attestazione ISEE/ISEEU parificato i cui valori non rientrino nei limiti previsti per beneficiare della tariffazione agevolata.

Tali studenti dovranno lasciare immediatamente l’alloggio, saranno comunque tenuti al pagamento per intero delle rate alloggi già scadute e non avranno diritto al rimborso delle stesse se già pagate.

Non avranno diritto al rimborso del deposito cauzionale."
Alloggi on campus ;Cessione temporanea;Come funziona la cessione temporanea?;Come funziona la cessione temporanea?;"Se sarai ospite di una delle residenze Bocconi nell’a.a. 2023-24 e nello stesso anno accademico prenderai parte al Programma Scambi, Free Mover o effettuerai uno stage fuori sede riconosciuto dall'Università Bocconi (verificato dagli uffici competenti), potrai chiedere di mettere a disposizione di un altro studente, regolarmente iscritto all'a.a. 2023-24 all'Università Bocconi a un corso di laurea, laurea magistrale a ciclo unico, laurea magistrale o master universitario, il tuo alloggio in corrispondenza del semestre durante il quale svolgerai l'esperienza internazionale. Sarà possibile cedere l’alloggio per una o più mensilità di seguito purché all’interno dello stesso semestre – in base all’accordo che cedente e subentrante prenderanno tra loro (cioè dei periodi: settembre-gennaio per il 1° semestre oppure gennaio-giugno per il 2° semestre).

La partecipazione al Programma Scambi, Free Mover o stage fuori sede riconosciuto dall'Università Bocconi sarà verificata dagli uffici.

Sarà tua responsabilità individuare e segnalare il nominativo di uno studente bocconiano interessato a occupare provvisoriamente l'alloggio. Ti suggeriamo di consultare il link al gruppo Facebook gestito dai rappresentanti degli studenti che può essere utile per trovare uno studente interessato ad un'assegnazione temporanea dell'alloggio.


Si precisa che:

in caso di camere con bagno in condivisione, è necessario che lo studente subentrante sia dello stesso genere dello studente cedente;
l’alloggio può essere ceduto soltanto per mensilità intere;
allo studente che occuperà provvisoriamente l'alloggio, non verranno richiesti requisiti di merito e di reddito.
 

Inoltre, con riferimento al calcolo della retta alloggi dovuta in caso di cessione temporanea:

Per gli studenti coinvolti nella cessione temporanea, la retta complessiva alloggio sarà determinata in base alla tariffa mensile.
Quando la camera del cedente è assegnata a tariffa INTERA lo studente subentrante deve pagare l'alloggio esclusivamente a tariffa intera (tariffa mensile).
Quando la camera del cedente è assegnata a tariffa AGEVOLATA lo studente subentrante pagherà l’alloggio a tariffa intera, ad eccezione che si verifichi uno dei seguenti casi:

Lo studente subentrante ha partecipato alla sessione di assegnazione “Alloggi: NUOVA ammissione a TARIFFA AGEVOLATA a.a. 2023/2024” (esiti a marzo 2023) ed ha avuto un esito di assegnazione (poi da lui stesso non accettata) oppure un esito di non assegnazione per mancanza di posti (nota1). In questi casi, al momento della richiesta di cessione/subentro lo studente interessato potrà richiedere di pagare a tariffa AGEVOLATA.
oppure

Lo studente risultati idoneo alla ""Borsa di Studio ISU Bocconi a.a. 2023-24"" in seguito alla pubblicazione della graduatoria definitiva (fine ottobre 2023). In questo caso si specifica che la tariffazione agevolata sarà applicata solamente alle rate previste in scadenza DOPO la definizione della sua idoneità. Infatti, nel caso in cui il subentrante debba pagare una rata prima della pubblicazione degli esiti delle graduatorie ISU – quindi che abbia concordato un subentro per un periodo compreso tra settembre e dicembre – dovrà pagare tariffa intera.
Nota 1

Lo studente ha ricevuto un esito riportante questa dicitura: “Siamo spiacenti di comunicarti che non è stato possibile assegnarti un posto alloggio a tariffa agevolata per l’a.a. 2023-2024 presso una delle residenze Bocconi in quanto il numero dei richiedenti alloggio a tariffa agevolata ha superato il numero dei posti disponibili riservati al diritto allo studio per l’a.a. 2023-2024”.

 

Tempistiche e modalità di presentazione della domanda di cessione temporanea
Possono fare domanda di cessione temporanea esclusivamente gli assegnatari 2023-24 che rispettino tutti i requisiti di merito e/o reddito e iscrizione all’a.a. come definiti dalla domanda di alloggio.

In caso di mancato rispetto dei requisiti e dunque in caso di conseguente revoca dell’assegnazione la cessione si considera annullata.

Lo studente cedente è responsabile di eventuali mancati pagamenti ed è tenuto a rifondere l’Università.

La domanda di cessione temporanea potrà essere presentata attraverso il link disponibile nel box ""Links"" unicamente nei seguenti periodi:

dal 26/06/2023 al 30/06/2023 (per gli studenti che effettueranno l'esperienza internazionale nel I o nel II semestre a.a. 2023-24);
dal 30/10/2023 al 5/11/2023 Per gli studenti che effettueranno l'esperienza internazionale nel II semestre a.a. 2023-24
 

Cessione temporanea a.a. 2023-24
II semestre: dal 30 ottobre al 5 novembre 2023
 

Periodi e pagamenti

Il periodo dovrà essere concordato tra gli studenti e dovrà corrispondere a quello dell'esperienza internazionale; sarà possibile cedere l’alloggio per una o più mensilità consecutive – in base all’accordo che cedente e subentrante prenderanno tra loro - purché all’interno dello stesso semestre (cioè dei periodi: settembre-gennaio per il primo semestre oppure gennaio-giugno per il secondo semestre).
Sarà possibile cedere l’alloggio anche per l’intero anno accademico, presentando due domande di cessione temporanea distinte – una a luglio ed una a novembre.
Ciascuno  pagherà la tariffa mensile prevista per la tipologia di camera per i propri mesi di effettiva permanenza, ricevendo il MAV in agenda you@B.

Nota: la cessione temporanea sarà possibile solo nel caso in cui lo studente partecipi a un programma internazionale in presenza, mentre non è consentita la presentazione della richiesta nel caso in cui l'esperienza si svolga online."
Alloggi on campus ;Cessione temporanea;Sono subentrante in una cessione temporanea, posso accedere alla tariffa agevolata?;Sono subentrante in una cessione temporanea, posso accedere alla tariffa agevolata?;"Con riferimento al calcolo della retta alloggi dovuta in caso di cessione temporanea:

Per gli studenti coinvolti nella cessione temporanea, la retta complessiva alloggio sarà determinata in base alla tariffa mensile.
Quando la camera del cedente è assegnata a tariffa INTERA lo studente subentrante deve pagare l'alloggio esclusivamente a tariffa intera (tariffa mensile).
Quando la camera del cedente è assegnata a tariffa AGEVOLATA lo studente subentrante pagherà l’alloggio a tariffa intera, ad eccezione che si verifichi uno dei seguenti casi:

Lo studente subentrante ha partecipato alla sessione di assegnazione “Alloggi: NUOVA ammissione a TARIFFA AGEVOLATA a.a. 2023/2024” (esiti a marzo 2023) ed ha avuto un esito di assegnazione (poi da lui stesso non accettata) oppure un esito di non assegnazione per mancanza di posti (nota1). In questi casi, al momento della richiesta di cessione/subentro lo studente interessato potrà richiedere di pagare a tariffa AGEVOLATA.
oppure

Lo studente risultati idoneo alla ""Borsa di Studio ISU Bocconi a.a. 2023-24"" in seguito alla pubblicazione della graduatoria definitiva (fine ottobre 2023). In questo caso si specifica che la tariffazione agevolata sarà applicata solamente alle rate previste in scadenza DOPO la definizione della sua idoneità. Infatti, nel caso in cui il subentrante debba pagare una rata prima della pubblicazione degli esiti delle graduatorie ISU – quindi che abbia concordato un subentro per un periodo compreso tra settembre e dicembre – dovrà pagare tariffa intera.
Nota 1

Lo studente ha ricevuto un esito riportante questa dicitura: “Siamo spiacenti di comunicarti che non è stato possibile assegnarti un posto alloggio a tariffa agevolata per l’a.a. 2023-2024 presso una delle residenze Bocconi in quanto il numero dei richiedenti alloggio a tariffa agevolata ha superato il numero dei posti disponibili riservati al diritto allo studio per l’a.a. 2023-2024”."
Alloggi on campus ;Cessione temporanea;Cosa succede se subentrante e cedente cambiano idea dopo l’approvazione della domanda?;Cosa succede se subentrante e cedente cambiano idea dopo l’approvazione della domanda?;"L’Ufficio Fees, Funding e Housing supervisiona l’accordo di cessione temporanea tra studenti esclusivamente da un punto di vista amministrativo (raccolta e verifica della documentazione, emissione dei MAV per i periodi di competenza, controlli con gli uffici competenti) e organizzativo (comunicazione alle residenze dei nominativi e dei periodi di assegnazione), con lo scopo di facilitare e supportare gli studenti che siano in partenza per programmi internazionali oppure alla ricerca di un alloggio temporaneo.

Se successivamente alla conclusione dell’accordo dovessero sorgere necessità condivise di modifica dello stesso (es. estensione o diminuzione del periodo), l’Ufficio prenderà nota di tale comunicazione che dovrà pervenire in forma congiunta e condivisa dalle parti e attuerà tutte le procedure amministrative necessarie.

Viceversa, se dovessero sorgere incomprensioni o necessità divergenti tra il cedente e il subentrante, l’Ufficio NON interverrà in nessun caso e continuerà a valere l’accordo originario così come richiesto dagli studenti e confermato dall’Ufficio in fase di application. L’Ufficio interverrà con le procedure amministrative necessarie esclusivamente se e quando gli studenti (cedente e subentrante) avranno trovato tra loro e comunicato in forma scritta, congiunta e condivisa, una richiesta di modifica dell’accordo.

Si ricorda che NON è possibile annullare l’accordo di cessione temporanea."
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
